hrv_mean_nni,hrv_median_nni,hrv_range_nni,hrv_sdsd,hrv_rmssd,hrv_pnni_50,hrv_pnni_20,hrv_cvsd,hrv_sdnn,hrv_cvnni,hrv_std_hr,hrv_total_power,hrv_lf,hrv_peaks,hrv_hf,hrv_mean,hrv_std,hrv_max,hrv_ptp,hrv_rms,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_svd_entropy,acc_x_mean,acc_x_min,acc_x_sum,acc_x_skewness,acc_x_n_sign_changes,acc_x_pct_5,acc_x_pct_95,acc_x_svd_entropy,acc_y_mean,acc_y_min,acc_y_max,acc_y_sum,acc_y_pct_5,acc_y_pct_95,acc_z_n_sign_changes,l2_pct_5,Stress
659.5382104,656.25,1015.625,79.3744904,79.37462144,26.26728111,60.21505376,0.120348784,97.58611707,0.147961279,14.37939033,5997.759448,1550.372087,168,1202.844724,659.5382104,97.51113733,1359.375,1015.625,666.7076368,109.375,328.125,531.25,859.375,0.362599628,826485.6755,-81,1586852497,43.78356451,46,-53,19.05,1,826463.6839,-91,1586886712,1586810273,-71,43,121,53.48317022,0
660.0603911,656.25,1015.625,78.64397685,78.6441087,26.3803681,60.58282209,0.119146838,97.4612357,0.147655028,14.35898698,5998.75374,1552.783179,168,1225.967337,660.0603911,97.38646681,1359.375,1015.625,667.205998,109.375,328.125,531.25,859.375,0.362829048,826486.075,-81,1586853264,43.78356451,46,-51,19.05,1,826462.9578,-91,1586886712,1586808879,-71,43,131,53.81449619,0
660.622133,656.25,1015.625,79.09274489,79.09287519,26.29969419,60.24464832,0.119724834,97.39169003,0.147424201,14.34561888,5960.829671,1579.653381,170,1181.431412,660.622133,97.31720307,1359.375,1015.625,667.751631,109.375,328.125,531.25,859.375,0.36092856,826485.6995,-81,1586852543,43.78356451,46,-51,19.05,1,826463.1234,-91,1586886712,1586809197,-71,43,134,53.97082511,0
660.9899009,656.25,1015.625,78.85854346,78.85867335,26.37195122,60.51829268,0.1193039,97.38238339,0.147328096,14.34396426,5969.980605,1595.890484,172,1172.093427,660.9899009,97.30813071,1359.375,1015.625,668.114153,109.375,328.125,531.25,859.375,0.360454743,826485.1995,-81,1586851583,43.78356451,43,-51,19.05,1,826463.3234,-91,1586886712,1586809581,-70,43,130,54.16456346,0
661.2031011,656.25,1015.625,78.68364488,78.68377626,26.33996937,60.6431853,0.119000918,97.38484394,0.147284312,14.35625761,5969.537606,1592.054542,172,1177.244456,661.2031011,97.31024811,1359.375,1015.625,668.3253888,109.375,328.125,531.25,859.375,0.357832679,826484.2755,-81,1586849809,43.78356451,43,-51,18,1,826463.5214,-91,1586886712,1586809961,-69,43,129,54.16456346,0
661.4024156,656.25,1015.625,78.29509302,78.29522546,26.22699387,60.88957055,0.118377592,97.49177828,0.147401606,14.37125272,5994.169623,1592.77783,171,1200.616046,661.4024156,97.41698596,1359.375,1015.625,668.538125,125,328.125,531.25,859.375,0.357739451,826483.7198,-81,1586848742,43.78356451,42,-51,18,1,826463.7688,-91,1586886712,1586810436,-69,43,131,54.16456346,0
661.7139571,656.25,1015.625,78.30467219,78.30480461,26.3803681,61.04294479,0.118336335,97.63432442,0.147547627,14.3865332,6002.226249,1581.818448,172,1207.132123,661.7139571,97.55942274,1359.375,1015.625,668.8671033,113.28125,328.125,531.25,859.375,0.35779335,826483.301,-81,1586847938,43.78356451,42,-51,18,1,826463.9979,-91,1586886712,1586810876,-69,43,137,54.16456346,0
662.2115385,656.25,1015.625,78.71728618,78.71741873,26.61538462,61.23076923,0.118870503,98.03267391,0.148038305,14.42739778,6030.356501,1606.091911,173,1184.961588,662.2115385,97.95723513,1359.375,1015.625,669.4174644,109.375,328.125,531.25,859.375,0.356907992,826482.8766,-81,1586847123,43.78356451,42,-51,18,1,826464.2182,-91,1586886712,1586811299,-69,43,143,54.16456346,0
662.8707627,656.25,1015.625,78.99292307,78.99305556,26.19414484,61.17103236,0.119168109,98.37500653,0.148407521,14.46284618,6030.316505,1631.699919,173,1149.382702,662.8707627,98.29918763,1359.375,1015.625,670.1196746,109.375,328.125,531.25,859.375,0.357437739,826482.4432,-81,1586846291,43.78356451,42,-51,18,1,826464.4219,-91,1586886712,1586811690,-69,43,150,54.16456346,0
663.6171032,656.25,1015.625,78.62481046,78.62494357,26.04006163,60.86286595,0.118479381,98.77870105,0.148848938,14.48432625,6092.68842,1648.836492,172,1146.09714,663.6171032,98.70257102,1359.375,1015.625,670.9171761,109.375,328.125,531.25,859.375,0.358318431,826481.9495,-81,1586845343,43.78356451,42,-51,18,1,826464.7021,-91,1586886712,1586812228,-69,43,158,54.16456346,0
